timestamp,orig_data_size,compr_data_size,mem_used_total,mem_limit,max_used_total,same_pages,pages_compacted
2025-04-12 06:06:24,4096,62,20480,0,20480,0,0
2025-04-12 06:06:34,4096,62,20480,0,20480,0,0
2025-04-12 06:06:44,58118144,312216,479232,0,479232,5121,0
2025-04-12 06:06:54,471040,101162,176128,0,86564864,21,0
2025-04-12 06:07:04,471040,101162,176128,0,86564864,21,0
2025-04-12 06:07:14,471040,101162,176128,0,86564864,21,0
2025-04-12 06:07:24,471040,101162,176128,0,86564864,21,0
2025-04-12 06:07:34,471040,101162,176128,0,86564864,21,0
2025-04-12 06:07:44,471040,101162,176128,0,86564864,21,0
2025-04-12 06:07:54,471040,101162,176128,0,86564864,21,0
2025-04-12 06:08:04,471040,101162,176128,0,86564864,21,0
2025-04-12 06:08:14,471040,101162,176128,0,86564864,21,0
2025-04-12 06:08:24,471040,101162,176128,0,86564864,21,0
2025-04-12 06:08:34,471040,101162,176128,0,86564864,21,0
2025-04-12 06:08:44,471040,101162,176128,0,86564864,21,0
2025-04-12 06:08:54,471040,101162,176128,0,86564864,21,0
2025-04-12 06:09:04,471040,101162,176128,0,86564864,21,0
2025-04-12 06:09:14,471040,101162,176128,0,86564864,21,0
2025-04-12 06:09:24,471040,101162,176128,0,86564864,21,0
2025-04-12 06:09:34,471040,101162,176128,0,86564864,21,0
2025-04-12 06:09:44,471040,101162,176128,0,86564864,21,0
2025-04-12 06:09:54,471040,101162,176128,0,86564864,21,0
